TRIMESTRE,Año,Trimestre,Empleo,EXP_NO_PETROLERAS,SALARIO_REAL,TCER
2008Q2,2008,Q2,6.245225,1739.8,197.37,106.3009
2008Q3,2008,Q3,6.12531,1757.4,217.5,103.5527
2008Q4,2008,Q4,6.005395,1682.03,222.36,95.3125
2009Q1,2009,Q1,6.03533,1651.7,179.67,92.5683
2009Q2,2009,Q2,6.065265,1618.72,176.99,94.3342
2009Q3,2009,Q3,6.0952,1714.7,236.45,97.8462
2009Q4,2009,Q4,6.125135,1849.29,196.81,99.1469
2010Q1,2010,Q1,6.149638,1893.85,190.13,95.3768
2010Q2,2010,Q2,6.174141,1974.73,188.72,93.4374
2010Q3,2010,Q3,6.143686,1888.19,251.21,95.3185
2010Q4,2010,Q4,6.11323,2059.93,248.41,96.864
2011Q1,2011,Q1,6.168907,2240.02,202.31,96.1191
2011Q2,2011,Q2,6.224584,2375.22,199.36,97.9469
2011Q3,2011,Q3,6.264709,2295.33,263.49,97.4396
2011Q4,2011,Q4,6.304834,2466.92,259.1,94.1801
2012Q1,2012,Q1,6.446552,2403.27,211.81,93.4943
2012Q2,2012,Q2,6.588271,2447.49,209.82,92.4133
2012Q3,2012,Q3,6.506556,2535.3,277.52,91.5935
2012Q4,2012,Q4,6.42484,2586.75,274.13,91.762
2013Q1,2013,Q1,6.575318,2673.95,333.82,92.8542
2013Q2,2013,Q2,6.725795,2715.86,332.69,91.275
2013Q3,2013,Q3,6.695018,2453.28,443.22,91.5682
2013Q4,2013,Q4,6.664241,2897.03,436.87,91.9815
2014Q1,2014,Q1,6.706314,3107.42,346.65,90.642
2014Q2,2014,Q2,6.643458,3102.03,343.88,92.833
2014Q3,2014,Q3,6.866776,3067.06,455,92.6685
2014Q4,2014,Q4,6.921107,3172.07,450.29,89.6386
2015Q1,2015,Q1,7.091116,3122.46,347.77,85.788
2015Q2,2015,Q2,7.098584,2878.9,342.37,85.5412
2015Q3,2015,Q3,7.274221,2735.7,455.05,83.6312
2015Q4,2015,Q4,7.140636,2933.22,453.61,83.4843
2016Q1,2016,Q1,7.412671,2730.97,350.21,84.7468
2016Q2,2016,Q2,7.415099,2820.2,348.17,87.0222
2016Q3,2016,Q3,7.637986,2750.74,463.85,87.4363
2016Q4,2016,Q4,7.463579,3036.58,463.71,86.5424
2017Q1,2017,Q1,7.728968,3054.36,355.48,87.3296
2017Q2,2017,Q2,7.78156,3078.34,353.96,88.1919
2017Q3,2017,Q3,7.842471,2931.64,474.5,90.1177
2017Q4,2017,Q4,7.712177,3144.51,476.04,90.7837
2018Q1,2018,Q1,7.802374,3151.38,366.45,93.1376
2018Q2,2018,Q2,7.648773,3297.68,367.4,92.8246
2018Q3,2018,Q3,7.933625,3081.09,489.62,90.9949
2018Q4,2018,Q4,7.731032,3296.05,488.48,89.8411
2019Q1,2019,Q1,7.786532,3245.34,373.33,90.733
2019Q2,2019,Q2,7.865786,3382.62,373.56,90.8387
2019Q3,2019,Q3,7.972485,3402.72,498.15,90.2628
2019Q4,2019,Q4,7.787896,3619.13,498.19,90.3801
2020Q1,2020,Q1,7.778612,3950.66,379.46,90.1296
2020Q2,2020,Q2,7.769329,3424.62,376.82,86.6922
2020Q3,2020,Q3,7.760046,3668.67,509.5,89.9335
2020Q4,2020,Q4,7.750762,4061.03,511.43,91.9506
2021Q1,2021,Q1,7.768616,3881.17,382.87,93.6561
2021Q2,2021,Q2,7.90318,4420.71,381,94.076
2021Q3,2021,Q3,8.010353,4576.48,505.33,93.548
2021Q4,2021,Q4,8.107035,5213.59,502.55,93.5856
2022Q1,2022,Q1,8.008824,5596.85,298.31,102.1065
2022Q2,2022,Q2,8.184509,5935.52,391.12,102.5287
2022Q3,2022,Q3,8.281983,5631.42,516.88,99.6887
2022Q4,2022,Q4,8.174009,5460.01,513.86,98.5459
2023Q1,2023,Q1,8.176092,5792.4,407.62,101.3788
2023Q2,2023,Q2,8.066855,5925.01,405.87,102.0581
2023Q3,2023,Q3,8.251577,5898.42,466.57,101.1521
2023Q4,2023,Q4,8.228674,5687.3,535.86,101.2484
2024Q1,2024,Q1,8.145352,5811.99,410.6,102.7414
2024Q2,2024,Q2,8.260006,6669.93,406.15,101.689
2024Q3,2024,Q3,8.328464,6342.53,539.08,101.5168
2024Q4,2024,Q4,8.230325,4436.36,405.04,100.1791
